code,name
360,360/MM,Cotix
Clof,Clofol(Folic,Acid),5mg,Tab
Clom,Clomipramine,10mg
Clomi,Clomitab(Clomifene),50mg,Tab
Clomi-50,Clomi-50(Clomifene),50mg,Tab
Clomip,Clomipramine,10mg,Tab
Clomipr,Clomipril(Clomipramine),25mg,Tab
Clomipra,Clomipramine,10mg,Tab
Clomit,Clomitab(Clomifene),50mg,Tab
Cloro,Cloron(Clonazepam),2mg,Tab
co,ez,Co,Eziday,TAB
Co-,Co-Extor/Amlo/Val/Hydro,5mg,Tab
Co-A,Co-Amoxiclav,625
Co-Am,Co-Amoxiclav/Amoxicilin+Clavun,625mg,Tab
Co-Amoxi,Co-Amoxiclav/1000mg
Co-Dep,Co-Depricap(Olanzapine+Fluoxetine),3.25mg,Cap
Co-Depri,Co-Depricap(Olanzapine+Fluoxetine),6+25mg,Cap
Co-E,Co-Extor/Amlo/Val/Hydro,10mg,Tab
Co-T,Co-Telsan/Telmisartan,40/12.5,Tab
Co-Tri,Co-Trimoxazole,Tab
Co-V,Co-Valtec/Valsartan+Hydro,160/12.5mg,Tab
Cob,Cobal/Mecobalamin,500mcg,Tab
Cof,Cofif/Hedera,helix,70mg,Syp
Cofc,Cofcol,Elixir
Cofe,Coferb,Plus/120ml,Syp
Cofif,Cofif,Cough,Syrup,120ml
col,Clomfranil,Clomipramine,10mg,Tab
cold,ColdRub
Colg,Colgate/Toothcreem,77g
Colic,Colic(Combend),Drops
Colq,Colgate,maxfresh
Com,Combivair/combined,400mg,Cap
comf,Comfrey,Adult,Diapers
Comi,Comin(Mecobalamin),500mcg,Tab
Corti,Cortisol(Hydrocortisone),Vial
Cot,Co-Telsan/,Telmi/Hydro,80/12.5,Tab
Cota,Cotasmi/Telmisartan+Hydrochlorthiazide,40mg/12,5mg
Cov,Co-Valtec/Val/hyd,80/12.5,Tab
Crab,Crab,Power(Sildenafil+Dapoxetine+Diclofenac),Cap
Cran,Cran,Max/Cranberry,Pow
Cranhe,Cranheal,Sachets
Cyro,Cyrocin(Ciprofloacin),500mg,Tab
D,Dapoxilar-60(Dapoxetine),60mg,Tab
D-Z,D-Zak(Vitamin,D3),50,000I.U,Cap
Dal,Dalacin,C/Clindamycin,300mg,Cap
Dan-,Dan-D(Cholecalciferol),200.000IU,Amp
Dap,Daplyza-M(Dapagliflozin+Metformin),5mg+1000mg,Tab
Dapl,Daplyza-M(Dapagliflozin+Metformin),5mg+850mg,Tab
Dapox,Dapoxilar-30(Dapoxetine),30mg,Tab
De,Deprex(Olanzapine),10mg,Tab
Deg,Degra(Sildenafil),50mg,Tab
Dep,Depsit/Escitalopram,20mg,Tab
Depe,Depexin(Fluoxetine),20mg,Cap
Deps,Depsit/Escitalopram,5mg,Tab
Det,Dettol/Soap
Dev,Devenda/Levetiracetam,500mg,Tab
dex,Dextrose,25%,Inj
Dext,Dextor(Dexamethasone),0,5mg,Tab
Diap,Diapers/Larg
Die,Diecold,Rub
Dio,DioPlus/Amlo+Vals,5/80mg,Tab
Diop,Dio,Plus/Amlo/Vals,10/160mg,Tab
Diso,Disolar(Desloratadine),5mg,Tab
Div,Divalpro/Divalproex,250mg,Tab
Diva,Divalpro/Divalproex,500mg,Tab
Doba,Dobalta/Duloxetine,Cap,20mg
Dol,Dolmen/Duloxetine,30Mg,Tab
Domi,Domista/Domperidone,Drop
Don,Donep,(Donepezil),10mg,Tab
Donep,Donep(Donepezil),5mg,Tab
Doxyc,Doxycycline,100mg,Tab
Doxyn,Doxyn(Doxycycline),100mg,Cap
Dres,Dressing/Palster
Dsp,Dspa/Drotaverine,40mg,Amp
Dulan,Dulan(Duloxetine),30mg,Cap
Dule,Dulexin/Duloxetine,30mg,Tab
Dus,Dustalosine/Dutasteride+Tamsulosin
Efe,Efectal/Ceftriaxone,1G,Vil
Eme,Emeset,Ondansetron,4ml,Inj
Ent,Entamizole-DS/Diloxanide,Metr,500/400mg,Tab
Entam,Entamizole,DS/Diloxanide+Metronidazole
Entaz,Entazel-D/Rabeprazole/Domperidon,Cap
Epit,Epitira/Levetiracetam,500mg,Tab
Esc,Escerol/Esomeprazol,40mg,Vil
Est,Estra/Escitalopram,10mg,Tab
Etir,Etirich/Melatonin,5mg,Tab
Evion,Evion(Vitamin,E),400mg,Cap
Exc,Exceco/Escitalopram,10Mg,Tab
Exi,Eximinth,plus/Albendazole,Syp,200mg
Exozin,Exozin/Zinc,Sulfate,20mg,SYP
Exv,Exval-A/Amlodipine/Vals,10/160,Tab
Falraf,Falraf(Pregabalin),75mg,Cap
Fam,Famot/,Famotidine,SYP,10mg
FAMO,Famotidin/Syp,10mg
Famot,Famotidine,40mg,Tab
Famot4,Famot/Famotidine,40mg,Tab
Fexe,Fexet/Fexofenadine,60mg,Tab
Fin,Fingar,Plaster
Firo,FIROOZ,Shampoo
Fit,Fitvit/Multi,vitamin,Tab
fl,Floxxi(Fluoxetine),20mg,Cap
FLA,Flagyl/metronidazole/500mg/inf
Floey,Foley,Catheter,16
Flu,Flumazenil/0.5mg,Inj
Fluco,Flucolar-150(Fluconazole),Cap
Flumazen,Flumazenil,0.5mg,Amp
Foley,B,Foley,Catheter
