code,name,departmentCode,fee
HYDROCEL,HYDROCELECTOMY,OPEN,
HYS,HYSTRECTOMY,URO,
ICU,ICU BED FEE/24HR,EME,
IM,IM INJECTION,EME,
IM IN,IM INJECTION,PED,
IMPLANT,IMPLANT CASE WITH CROWN PROCELIN,DENTA,
IMPLANT1,IMPLANT CASE WITH CROWN DESIGN PORCELIN,DENTA,
INC,INCUBATOR FOR 24/H,EME,
INCO,HYSTERECTOMY,GYN,
Insert,Insertion Of Implant,GYN,
INTESTI,INTESTINAL RESECTION AND ANASTOMOSIS,OPEN,
IU,PREVIOUS C/S DELIVERY,GYN,
IUD,POST-TERM DELIVERY,GYN,
IV,IV INJECTION,EME,
IV INJ,IV INJECTION/ IV CANNULA,EME,
IVC,IV CANULLA+SERUN+STAY,EME,
IVCA,IV CANNULA,EME,
IVF,IV FLUID,EME,
IVP,IVP X-RAY,RAD,
KIDNE,KIDNEY STONE,OPEN,
KNEE,KNEE JOINT X-RAY,RAD,
KUB,KUB X-RAY,RAD,
LAB C,LAB CHOLESTOECTOMY,URO,
LAC,ABRUPTIO PLACENTA,GYN,
LACE,PLACENTA PREVIA,GYN,
LAM,LAMENECTOMY DISCECTOMY MULTI LEVEL,NEURO,
LAME,LAMENECTOMY DISCECTOMY SINGLE LEVEL,NEURO,
LAP,LAPRAROMY,OPEN,
LAP AP,LAP APPENDICTOMY,URO,
LAP TU,LAP TUBLIGATION,URO,
LAPOR,LAPORATOMY,URO,
LAR,LARGE DRESSING WITH SUTURE,EME,
LEG,TIBAI&FIBULA X-RAY,RAD,
LIV,LIVER HYDATID CYST,URO,
LIVER,LIVER ABSCESS,OPEN,
LIVERD,LIVER DOPPLER,RAD,
LP,LP,PED,
LUM,LUMBER SPIN X-RAY,RAD,
MANDI,MANDIBULA X-RAY,RAD,
MAS,MASTOID X-RAY,RAD,
MASTEC,MASTECTOMY,OPEN,
MAY,POST-PARTUM HEMORHAGE,GYN,
MEN,MENINGOCELE,NEURO,
METAL,MONOPLAST,DENTA,
MEYA,MEYALO MENINGOCELE,NEURO,
MISS,ATONIA OF UTERUS,GYN,
MOLE,OVARIAN CYST,GYN,
MON,MONITORING,EME,
MONOB,MONOBLAST DENTUR,DENTA,
MUS,MUSCULO SKLETAL-ALL JOINTS,RAD,
MVD,MVD FOR TRIGEMINAL NEURALGIA SIMPLE,NEURO,
MVD F,MVD FOR TRIGEMINAL NEURALGIA COMPLEX,NEURO,
NASAL,NASAL BONE X-RAY,RAD,
NEB,NEBULIZATION,EME,
NEBUL,NEBULIZATION,PED,
NECK,NECK SOFT TISSUE,RAD,
NEON,NEONATAL RESUCITATION,PED,
NEONA,NEONATAL RESUCITATION,PED,
NEPHRECT,NEPHRECTOMY,OPEN,
NERO,NERO VASCULAR LESION,NEURO,
NEU,NEURO CONSULTATION(COMPLETE NEUROLOGICAL EXAM),NEURO,
NEWB,NEW BORN BED/FEE/24HR,PED,
NG,NG TUBE INSERTION,EME,
NOR,COMPLICATED DELIVERY,GYN,
NORM,NORMAL DELIVERY,GYN,
O2,O2 /HOUR,EME,
OESOP,OESOPHAGECTOMY,OPEN,
OIU,OIU FOR URETHRASTRICTURE,URO,
OM,OMP X-Ray,RAD,
OP,OPD+PROCEDURE,URO,
OPD,OPD,OPD,
OPD1,OPD,OPD,
OPD2,OPD,OPD,
OPE,CHOLESTECTOMY,OPEN,
OPEN,OPEN APPINDECTOMY,OPEN,
OPEN AP,APPANDICTOMY,URO,
OPEN CH,OPEN CHOLESTECTOMY,URO,
OPEN K,OPEN KIDNEY STONE,URO,
opt,Optic,ANE,
ORCH,ORCHIDECTOMY,OPEN,
ORCHI,ORCHIDECTOMY,URO,
ORCHID,ORCHIDECTOMY,OPEN,
ORTHO,ORTHODENCY,DENTA,
ORTHO CA,ORTHO USA CASE 2,DENTA,
ORTHO US,PARTIAL PER UNIT,DENTA,
OT,OT,IPD,
OUT P,OUT PATION IV CANULLA,EME,
OXY,OXYGEN/MINUATE,EME,
OXYG,OXYGEN THERAPY/HR,PED,
PALEU,PLEURAL TAP,PED,
PALIS,BLEECHING,DENTA,
PARO,AB.PERVIC TESTES,RAD,
